,userId,movieId,rating
0,1000245,1288725,1.0
1,1000245,592544,1.0
2,1000516,1219480,0.25
3,1000516,1984650,0.75
4,1000516,907474,0.25
5,1000516,1010278,0.25
6,100058,1780397,0.14285714285714285
7,100058,1601339,0.14285714285714285
8,100058,1808730,0.5714285714285714
9,100058,1015422,0.14285714285714285
10,100058,569608,0.14285714285714285
11,100058,67015,0.14285714285714285
12,100058,1356091,0.2857142857142857
13,1000605,1179277,0.5
14,1000605,1878895,0.5
15,1001256,467984,0.5
16,1001256,1621747,0.5
17,1001562,744213,0.125
18,1001562,1547178,15.75
19,1001562,1128936,0.125
20,1001562,1281617,0.5
21,1001562,1619451,1.75
22,1001562,377253,0.125
23,1001562,2035566,0.25
24,1001562,932202,0.25
25,1001817,128282,0.3333333333333333
26,1001817,1650863,0.3333333333333333
27,1001817,1333098,0.3333333333333333
28,1001831,1920079,0.3333333333333333
29,1001831,503831,0.3333333333333333
30,1001831,1945172,0.3333333333333333
31,1002153,954417,0.5
32,1002153,90055,0.5
33,1002626,1954588,0.5
34,1002626,1727700,0.5
35,1002655,846971,0.6666666666666666
36,1002655,1903652,1.3333333333333333
37,1002655,1041797,0.3333333333333333
38,1002921,1108653,0.5
39,1002921,1006526,2.5
40,1003090,923836,0.3333333333333333
41,1003090,97850,0.3333333333333333
42,1003090,227076,0.3333333333333333
43,1003167,983601,0.5
44,1003167,1688191,0.5
45,1004085,1878895,0.3333333333333333
46,1004085,155689,0.3333333333333333
47,1004085,702147,0.3333333333333333
48,1004313,2039701,0.3333333333333333
49,1004313,1070791,0.3333333333333333
50,1004313,476516,0.3333333333333333
51,1004591,868758,0.5
52,1004591,1136197,0.5
53,1004594,1027627,0.5
54,1004594,651092,0.5
55,1004950,1792081,0.6666666666666666
56,1004950,290834,1.0
57,1004950,1260293,0.3333333333333333
58,1004985,1176888,1.5
59,1004985,1011768,2.5
60,1005407,567553,0.5
61,1005407,1635918,1.0
62,1005577,288704,0.2
63,1005577,1841046,0.2
64,1005577,1247366,0.2
65,1005577,1430980,0.2
66,1005577,2020144,0.2
67,1005679,363738,0.6666666666666666
68,1005679,745027,0.3333333333333333
69,1005679,548658,0.3333333333333333
70,1005949,571548,0.4
71,1005949,389837,0.1
72,1005949,1705806,0.1
73,1005949,881529,0.1
74,1005949,940124,0.2
75,1005949,395329,0.3
76,1005949,1629152,0.4
77,1005949,975213,0.1
78,1005949,1354034,0.1
79,1005949,1183433,0.1
80,1006182,774965,0.6666666666666666
81,1006182,963319,0.3333333333333333
82,1006182,1283875,0.3333333333333333
83,100663,675075,0.5
84,100663,567908,0.5
85,1006783,633419,1.5
86,1006783,1758596,1.5
87,1006901,819365,0.5
88,1006901,1378615,1.0
89,1006924,642821,0.3333333333333333
90,1006924,2041459,0.3333333333333333
91,1006924,1062075,0.3333333333333333
92,100725,937413,0.5
93,100725,910916,0.5
